"AW","Aw"
"AA","Aa"
"AB","Ab"
"Au","AU"
"BC","B.C.","B.C"
"Ai","A.I.","A. I."
"CE","C.E.","C.E"
"Egolessness","Crowley on egolessness"
"Branch predictor","Branch prediction"
"The Beatles","Beatles"
"Duck family (Disney)","April, May and June Duck","Abner Duck","Della Thelma Duck","Daphne Duck"
"AWK","Awk"
"AAL","Aal"
"BSE","Bse"
"DAO","Dao"
"DES","DES (disambiguation)"
"DNA","Dna"
"DVD","Digital video disc","Digital Versatile Disc"
"DOD","DoD"
"ETA","Basque Fatherland and Liberty"
"Dog","Canis familiaris"
"Pub","British public houses"
"Incubator (culture)","Cell Incubator","Cell incubator"
"MP3","Data compression/MP3"
"Geologic time scale","Eon (geology)"
"Federal Assault Weapons Ban","Ban on assault rifles"
"Etiology","Aetiology"
"Daimler AG","Daimler-Chrysler"
"Claude Monet","Claude Oscar Monet"
"Albert of Hohenzollern","Albert of Brandenburg Prussia"
"Dark matter","Dark matter problem"
"Royal Cambodian Armed Forces","Military of Cambodia"
"Robert Byrd","Byrd, Robert"
"Sexual intercourse","Coitus"
"Digital Millennium Copyright Act","DMCA"
"Continuous function","Continuity property"
"Air force","Air Force"
"Constitution","ConstitutioN"
"Anarchism","Anarchist"
"UseModWiki","Clifford Adams"
"Amhrán na bhFiann","Amhrann na bhFiann"
"De Moivre's formula","DeMoivresFormula"
"The Birth of a Nation","BirthofaNation"
"Cumulative distribution function","CumulativeDistributionFunction"
"Anthroposophy","Anthrosophy"
"Asynchronous Transfer Mode","Asyncronous Transfer Mode"
"Five-spice powder","Chinese five spice"
"Antenna (radio)","Antenna theory"
"Scattered Islands in the Indian Ocean","Geography of Europa Island","Europa Island/People","Government of Europa Island","Transportation on Europa Island","Europa Island/Military","Europa Island/Transnational issues"
"Abgar V","Abgar"
"Agglutination","Agglutinative"
"Data Encryption Standard","DataEncryptionStandard"
"Equinox","Autumn equinox"
"The Book of Counted Sorrows","Book of Counted Sorrows"
"List of cities in Canada","Canada/cities"
"Dehydroepiandrosterone","DHEA"
